episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,146.25328555141354,200,0.27202857,161,0.0058061834,0.31193057,-1,-1,0.0,False,False
2,7.098012068049252,9,0.3192657,7,0.1025329,0.31193057,-1,-1,0.0,True,False
3,10.701768160964416,12,0.35419166,8,0.080502234,0.36431947,-1,-1,0.0,True,False
4,156.75445541131523,200,0.29263455,174,0.0076139756,0.31193057,-1,-1,0.0,False,False
5,166.9972334509766,200,0.32148972,48,0.05085978,0.31193057,-1,-1,0.0,False,False
6,151.08385462723163,200,0.28875977,178,0.011759105,0.31193057,-1,-1,0.0,False,False
7,154.8734959006573,200,0.2848359,155,0.010132815,0.31180274,-1,-1,0.0,False,False
8,11.480108819028937,13,0.35487914,9,0.06724976,0.36431947,-1,-1,0.0,True,False
9,154.33778595012126,200,0.28945693,182,0.008471221,0.36431947,-1,-1,0.0,False,False
10,157.97340821658725,200,0.30115443,192,0.005283835,0.31193057,-1,-1,0.0,False,False
11,165.08751955532307,200,0.31384683,95,0.03506168,0.31193057,-1,-1,0.0,False,False
12,14.970802187625962,17,0.34972462,13,0.05105628,0.36431947,-1,-1,0.0,True,False
13,13.776039177106927,17,0.32781023,12,0.05082809,0.31180274,-1,-1,0.0,True,False
14,160.36575269647372,200,0.2981428,131,0.017007519,0.31193057,-1,-1,0.0,False,False
15,170.25014134115142,200,0.33395523,77,0.039888088,0.31180274,-1,-1,0.0,False,False
16,178.09309780383623,200,0.3533432,14,0.060888834,0.31193057,-1,-1,0.0,False,False
17,10.258821140686795,13,0.31061453,6,0.08674986,0.31193057,-1,-1,0.0,True,False
18,171.03246583596118,200,0.3329394,58,0.043800086,0.36431947,-1,-1,0.0,False,False
19,173.4770433629601,200,0.34147823,54,0.04659985,0.31180274,-1,-1,0.0,False,False
20,178.4791830842426,200,0.35560226,15,0.061102446,0.36431947,-1,-1,0.0,False,False
