episode,collision,success,total_reward,episode_duration_s,steps,avg_speed_ms,lane_changes,speed_compliance,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate
1,True,False,7.422222222222222,3.2878172397613525,10,0.29924467,0,1.0,0.07575531,0.3125,-1,-1,0.0
2,True,False,5.2666666666666675,2.160614013671875,7,0.30173364,0,1.0,0.10005204,0.3125,-1,-1,0.0
3,True,False,25.425185185185196,9.441567182540894,31,0.3112007,0,1.0,0.021460574,0.3125,-1,-1,0.0
4,True,False,3.533333333333333,1.5052359104156494,5,0.2942653,0,1.0,0.14323464,0.3125,-1,-1,0.0
5,True,False,7.777777777777777,3.0486714839935303,10,0.31249997,0,1.0,0.0625,0.3125,-1,-1,0.0
6,True,False,15.666666666666673,5.796558856964111,19,0.30552348,0,1.0,0.03987122,0.3125,-1,-1,0.0
7,True,False,19.14202469135803,6.950974225997925,23,0.3099597,0,1.0,0.029714169,0.3125,-1,-1,0.0
8,True,False,16.000000000000004,6.4004621505737305,21,0.30458587,0,1.0,0.03767603,0.3125,-1,-1,0.0
9,True,False,6.799999999999999,2.7694127559661865,9,0.29099444,0,1.0,0.09094998,0.3125,-1,-1,0.0
10,True,False,20.800000000000008,8.522228717803955,27,0.3091232,0,1.0,0.026524935,0.3125,-1,-1,0.0
11,True,False,27.919802469135814,10.696017980575562,34,0.3107816,0,1.0,0.020100761,0.3125,-1,-1,0.0
12,True,False,7.999999999999999,3.4368107318878174,11,0.2993591,0,1.0,0.06995905,0.3125,-1,-1,0.0
13,True,False,15.253135802469139,5.789493799209595,19,0.3094249,0,1.0,0.035969783,0.3125,-1,-1,0.0
14,True,False,29.63091358024693,11.323946237564087,37,0.31092092,0,1.0,0.01847097,0.3125,-1,-1,0.0
15,True,False,5.955555555555555,2.4349703788757324,8,0.2917254,0,1.0,0.09889957,0.3125,-1,-1,0.0
16,True,False,8.244444444444444,3.334519863128662,11,0.30287012,0,1.0,0.06644803,0.3125,-1,-1,0.0
17,True,False,23.688888888888897,9.767773866653442,29,0.30676904,0,1.0,0.02728264,0.3125,-1,-1,0.0
18,False,False,32.88888888888891,13.47588586807251,40,0.3125,0,1.0,0.015625,0.3125,-1,-1,0.0
19,True,False,23.688888888888897,8.723823070526123,29,0.30582583,0,1.0,0.028225858,0.3125,-1,-1,0.0
20,True,False,19.18074074074075,6.828026294708252,23,0.31074876,0,1.0,0.02892512,0.3125,-1,-1,0.0
