episode,total_reward,steps,avg_speed_ms,lane_changes,avg_jerk,max_jerk,avg_ttc,min_ttc,ttc_violation_rate,collision,success
1,20.87953629769889,80,0.23836577,48,0.018757978,0.23730634,-1,-1,0.0,False,False
2,20.488474118030187,80,0.23886359,44,0.009100107,0.24148394,-1,-1,0.0,False,False
3,23.503293728986602,80,0.25583613,43,0.011242593,0.3067192,-1,-1,0.0,False,False
4,20.12367647570764,80,0.22986825,50,0.009908089,0.31335202,-1,-1,0.0,False,False
5,20.777786043791828,80,0.24226578,50,0.009999161,0.25759035,-1,-1,0.0,False,False
6,20.0677845565343,80,0.22312793,44,0.0099712,0.29704854,-1,-1,0.0,False,False
7,21.6849324766546,80,0.24339175,41,0.010699202,0.3091962,-1,-1,0.0,False,False
8,21.676635225984043,80,0.24078135,44,0.007932159,0.20714264,-1,-1,0.0,False,False
9,21.39632683402587,80,0.24234004,41,0.010382177,0.3036077,-1,-1,0.0,False,False
10,22.85543494169095,80,0.2509802,41,0.010114844,0.296123,-1,-1,0.0,False,False
11,22.020103843868178,80,0.24302807,45,0.011592426,0.3147535,-1,-1,0.0,False,False
12,22.67236939856276,80,0.2465187,41,0.008487064,0.21377797,-1,-1,0.0,False,False
13,22.722909567519018,80,0.25126424,40,0.010887316,0.310378,-1,-1,0.0,False,False
14,21.55210815877382,80,0.24462235,41,0.009968053,0.31045225,-1,-1,0.0,False,False
15,22.452993532966083,80,0.2505715,40,0.010169448,0.26564595,-1,-1,0.0,False,False
16,22.03535249309112,80,0.25006077,41,0.009909662,0.30157351,-1,-1,0.0,False,False
17,20.290597318781494,80,0.22395036,48,0.01136713,0.28034607,-1,-1,0.0,False,False
18,20.855333724323486,80,0.2441583,38,0.011385501,0.309977,-1,-1,0.0,False,False
19,19.908172645735394,80,0.22642657,45,0.009857083,0.31170422,-1,-1,0.0,False,False
20,20.53039422379204,80,0.22224173,49,0.011128816,0.31217578,-1,-1,0.0,False,False
